"pk_MainKPIID","mainKPIName","config","sparkConfig","fk_DataSourceID","KPIGroupID","varianceConfig","newConfig","insightConfig","derivedKPIConfig","fk_viewID","kpicalculatordimension","createdDate"
1631,kpi1,"{""rank"":1,""level"":2,""name"":""sum nm_order"",""unit"":"""",""group"":[""Dataverse""],""schema"":""public"",""tableName"":""saf_sbo_form_question_dp"",""granularityField"":""dt_created"",""formula"":""sum(nm_order)"",""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind""},{""key"":""de_title"",""displayName"":""de_title"",""matchingKey"":""de_title""},{""key"":""fl_deleted"",""displayName"":""fl_deleted"",""matchingKey"":""fl_deleted""}],""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false}]},""granularities"":[""DAILY"",""WEEKLY_SUNDAY"",""MONTHLY"",""QUARTERLY"",""MTD"",""QTD"",""YTD_JANUARY"",""YTD_APRIL""],""defaultView"":""DAILY"",""displayFormat"":""0,00"",""higherIsBetter"":true,""isSummable"":true,""lowestGranularity"":""DAILY""}",,,Dataverse,,,,,1,,"2025-01-09 11:10:41"
1633,kpi2,"{""rank"":1,""level"":2,""name"":""Avg nm_order"",""unit"":"""",""group"":[""Dataverse""],""schema"":""public"",""tableName"":""saf_sbo_form_question_dp"",""granularityField"":""dt_created"",""formula"":""avg(nm_order/1.0)"",""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind""},{""key"":""de_title"",""displayName"":""de_title"",""matchingKey"":""de_title""},{""key"":""fl_deleted"",""displayName"":""fl_deleted"",""matchingKey"":""fl_deleted""}],""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false}]},""granularities"":[""DAILY"",""MONTHLY"",""MONTHLY_WITH_CURRENT_MTD""],""defaultView"":""DAILY"",""displayFormat"":""0,00"",""higherIsBetter"":true,""isSummable"":true,""lowestGranularity"":""DAILY""}",,,Dataverse,,,,,1,,"2025-01-09 11:10:41"
1636,kpi4,"{""rank"":1,""level"":2,""name"":""max nm_order"",""unit"":"""",""group"":[""Dataverse""],""schema"":""s3source"",""tableName"":""saf_sbo_form_question_dp"",""granularityField"":""dt_created"",""formula"":""max(nm_order)"",""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind""},{""key"":""de_title"",""displayName"":""de_title"",""matchingKey"":""de_title""},{""key"":""fl_deleted"",""displayName"":""fl_deleted"",""matchingKey"":""fl_deleted""}],""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false}]},""granularities"":[""DAILY"",""MONTHLY"",""MONTHLY_WITH_CURRENT_MTD""],""defaultView"":""DAILY"",""displayFormat"":""0,00"",""higherIsBetter"":true,""isSummable"":true,""lowestGranularity"":""DAILY""}",,,Dataverse,,,,,1,,"2025-01-09 11:10:41"
1637,kpi3,"{""rank"":1,""level"":2,""name"":""min nm_order"",""unit"":"""",""group"":[""Dataverse""],""schema"":""s3source"",""tableName"":""saf_sbo_form_question_dp"",""granularityField"":""dt_created"",""formula"":""min(nm_order)"",""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind""},{""key"":""de_title"",""displayName"":""de_title"",""matchingKey"":""de_title""},{""key"":""fl_deleted"",""displayName"":""fl_deleted"",""matchingKey"":""fl_deleted""}],""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false}]},""granularities"":[""DAILY"",""MONTHLY"",""MONTHLY_WITH_CURRENT_MTD""],""defaultView"":""DAILY"",""displayFormat"":""0,00"",""higherIsBetter"":true,""isSummable"":true,""lowestGranularity"":""DAILY""}",,,Dataverse,,,,,1,,"2025-01-09 11:10:41"
1647,NM Order KPI,"{""name"":""NM Order KPI"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false},{""key"":""de_title"",""displayName"":""de_title"",""matchingKey"":""de_title"",""compulsoryDimension"":false},{""key"":""fl_deleted"",""displayName"":""fl_deleted"",""matchingKey"":""fl_deleted"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY"",""MONTHLY"",""QTD"",""MTD"",""YTD_APRIL"",""YTD_JANUARY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""tableName"":""saf_sbo_form_question_dp"",""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-16 11:31:47"
1649,NM Order KPI 2,"{""name"":""NM Order KPI 2"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY"",""MONTHLY"",""MTD"",""QTD""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""tableName"":""saf_sbo_form_question_dp"",""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-16 11:48:39"
1650,SAF Question NM Order kpi,"{""name"":""SAF Question NM Order kpi"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false},{""key"":""fl_deleted"",""displayName"":""fl_deleted"",""matchingKey"":""fl_deleted"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""tableName"":""saf_sbo_form_question_dp"",""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-17 05:45:48"
1651,NM Order KPI - demo testing,"{""name"":""NM Order KPI - demo test - Edit"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY"",""MONTHLY"",""MTD"",""QTD"",""WEEKLY_MONDAY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-18 04:31:11"
1652,NM Order KPI - duplicate,"{""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY"",""MONTHLY"",""MTD"",""QTD""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""schema"":""s3source"",""name"":""NM Order KPI - duplicate"",""tableName"":""saf_sbo_form_question_dp""}",,,Dataverse,,,,,3289,,"2025-04-21 05:19:46"
1653,NM Order KPI - schema - duplicate,"{""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false},{""key"":""de_title"",""displayName"":""de_title"",""matchingKey"":""de_title"",""compulsoryDimension"":false},{""key"":""fl_deleted"",""displayName"":""fl_deleted"",""matchingKey"":""fl_deleted"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY"",""MONTHLY"",""QTD"",""MTD"",""YTD_APRIL"",""YTD_JANUARY"",""WEEKLY_MONDAY"",""WTD_MONDAY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""schema"":""s3source"",""name"":""NM Order KPI - schema""}",,,Dataverse,,,,,3289,,"2025-04-21 06:16:50"
1654,Test KPI - refactor,"{""name"":""Test KPI - refactor - edit"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-22 07:30:32"
1655,NM Order KPI - test -cleanup,"{""name"":""NM Order KPI - test -cleanup"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY"",""MONTHLY_WITH_CURRENT_MTD"",""QTD"",""QUARTERLY_WITH_CURRENT_QTD""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-22 09:34:34"
1656,NM Order KPI - cleanup II,"{""name"":""NM Order KPI - cleanup II"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""tableName"":""saf_sbo_form_question_dp"",""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-28 09:13:03"
1657,NM Order KPI - cleanup III,"{""name"":""NM Order KPI - cleanup III"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_title"",""displayName"":""de_title"",""matchingKey"":""de_title"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""tableName"":""saf_sbo_form_question_dp"",""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-28 09:39:05"
1658,NM Order KPI - IV,"{""name"":""NM Order KPI - IV"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""tableName"":""saf_sbo_form_question_dp"",""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-28 10:01:46"
1659,NM Order KPI - cleanup VI,"{""name"":""NM Order KPI - cleanup VI - EDIT"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""QUARTERLY"",""WEEKLY_MONDAY"",""MONTHLYWEEK"",""WEEKLY_SUNDAY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-28 10:13:31"
1660,NM Order KPI - cleanup IIV,"{""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY"",""WEEKLY_MONDAY"",""QUARTERLY"",""MONTHLYWEEK"",""WEEKLY_SUNDAY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""schema"":""s3source"",""name"":""NM Order KPI - cleanup IIV""}",,,Dataverse,,,,,3289,,"2025-04-28 10:14:30"
1661,NM Order KPI - final,"{""name"":""NM Order KPI - final"",""unit"":""0"",""tags"":[],""displayFormat"":""0,00"",""filters"":{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]},""formula"":""sum(nm_order)"",""isSummable"":true,""higherIsBetter"":true,""dimensions"":[{""key"":""de_kind"",""displayName"":""de_kind"",""matchingKey"":""de_kind"",""compulsoryDimension"":false}],""granularityField"":""dt_created"",""defaultView"":""DAILY"",""timeFragmentIndicatorForGranularityPeriodCompletion"":"""",""granularities"":[""DAILY""],""customGranularities"":[],""isKPICalculationConfigured"":false,""isRawDataConfigured"":true,""shouldCacheData"":true,""tableName"":""saf_sbo_form_question_dp"",""schema"":""s3source""}",,,Dataverse,,,,,3289,,"2025-04-29 09:36:11"
